source_row,Title,Publication,Date,DOI,remaining_reason,elsevier_status,is_oa,oa_status,best_oa_url,unpaywall_pdf_status,unpaywall_pdf_file,unpaywall_pdf_error
339,ALD-Assisted VO2 for Memristor Application,Advanced Engineering Materials,2025-05-01,10.1002/adem.202402614,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202402614,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adem.202402614')
340,The Nucleation Mechanism of Tetrakis(dimethylamido)hafnium on CoO Nanoislands,Journal of Physical Chemistry C,2025-05-01,10.1021/acs.jpcc.5c01171,closed in Unpaywall,404 not found,False,closed,,,,
342,Plasma enhanced atomic layer deposition of silicon nitride and silicon carbonitride using a single source precursor and different plasmas,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-05-01,10.1116/6.0004510,closed in Unpaywall,404 not found,False,closed,,,,
343,Recent trends in thermal atomic layer deposition chemistry,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-05-01,10.1116/6.0004320,closed in Unpaywall,404 not found,False,closed,,,,
347,Atomic layer deposition of AlxTi1−xN via co-evaporation of metal precursors,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-05-01,10.1116/6.0004420,OA PDF download failed,404 not found,True,hybrid,https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004420/20459040/032405_1_6.0004420.pdf,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004420/20459040/032405_1_6.0004420.pdf')
348,Lithiophilic Interlayer with Electrolyte-Reservoir and Dendrite-Buffer for High-Performance Lithium Metal Batteries,Nanomaterials,2025-05-01,10.3390/nano15100710,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/2079-4991/15/10/710/pdf?version=1746764627,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/2079-4991/15/10/710/pdf?version=1746764627')
353,Power generation enhanced dye-sensitized solar cells by sodium adsorption with aluminum silicate coated TiO2 photoelectrodes,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-05-01,10.1116/6.0004246,closed in Unpaywall,404 not found,False,closed,,,,
355,Highly diffraction-efficient prism gratings for the satellite-borne methane imaging spectrometer(cover paper·invited),Infrared and Laser Engineering,2025-05-01,10.3788/IRLA20250081,closed in Unpaywall,404 not found,False,closed,,,,
359,Enhanced plasma resistance of uniform ALD-Y2O3 thin films for chamber components’ coatings,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-05-01,10.1116/6.0004256,closed in Unpaywall,404 not found,False,closed,,,,
362,"Synergistic effect of multivalent Ti, Zr, and oxygen vacancies to significantly enhance the hydrogen sorption properties of MgH2",Journal of Materials Chemistry A,2025-04-30,10.1039/d5ta01302j,closed in Unpaywall,404 not found,False,closed,,,,
363,Nanoscale Mixed Ion-Electron-Conducting NASICON-Type Thin Films: Lithium Titanium Phosphate via Atomic Layer Deposition,ACS Applied Materials and Interfaces,2025-04-30,10.1021/acsami.5c02201,closed in Unpaywall,404 not found,False,closed,,,,
364,Eliminating Nucleation Delay for Atomic Layer-Deposited Low-Defect Dense Multi-Component Thin Films through Preoccupation of Interstitial Sites,ACS Applied Materials and Interfaces,2025-04-30,10.1021/acsami.4c22420,closed in Unpaywall,404 not found,False,closed,,,,
365,Atomic Layer Restructuring of Gold Surfaces by N-Heterocyclic Carbenes over Large Surface Areas,ACS Nano,2025-04-29,10.1021/acsnano.4c17517,closed in Unpaywall,404 not found,False,closed,,,,
366,Pinning the Surface Layered Oxide Structure in High Temperature Calcination Using Conformal Atomic Layer Deposition Coating for Fast Charging Cathode,Advanced Functional Materials,2025-04-25,10.1002/adfm.202423888,OA PDF download failed,404 not found,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202423888,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202423888')
367,Thermal Atomic Layer Etching of Zinc Oxide from 30-300 °C Using Sequential Exposures of Hydrogen Fluoride and Trimethylgallium,Chemistry of Materials,2025-04-22,10.1021/acs.chemmater.5c00028,closed in Unpaywall,404 not found,False,closed,,,,
368,Atomic Layer Deposition on Spray-Dried Supraparticles to Rationally Design Catalysts with Ultralow Noble Metal Loadings,Chemistry of Materials,2025-04-22,10.1021/acs.chemmater.4c03429,closed in Unpaywall,404 not found,False,closed,,,,
369,Deposition Techniques for Thin Film Development in Microelectronic Devices,Aip Conference Proceedings,2025-04-21,10.1063/5.0263418,closed in Unpaywall,404 not found,False,closed,,,,
370,"Amorphous Doped Indium Tin Oxide Thin-Films by Atomic Layer Deposition.Insights into Their Structural, Electronic and Device Reliability",Advanced Materials Interfaces,2025-04-21,10.1002/admi.202400758,OA PDF download failed,404 not found,True,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400758,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400758')
372,Phase-Composite InOx Semiconductors for High-Performance Flexible Thin-Film Transistors,ACS Applied Materials and Interfaces,2025-04-16,10.1021/acsami.5c00350,closed in Unpaywall,404 not found,False,closed,,,,
373,Atomic Layer Deposition of TixFe2-xO3 Photoanodes and Photocurrent Response Optimization Using the Response Surface Methodology,ACS Omega,2025-04-15,10.1021/acsomega.5c01360,OA PDF download failed,404 not found,True,gold,https://doi.org/10.1021/acsomega.5c01360,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acsomega.5c01360')
375,Low Temperature Atomic Layer Deposition of (00l)-Oriented Elemental Bismuth,Angewandte Chemie International Edition,2025-04-07,10.1002/anie.202422578,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1002/anie.202422578,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/10.1002/anie.202422578')
377,Freestanding 2D Glasses by Atomic Layer Deposition,ACS Applied Materials and Interfaces,2025-04-02,10.1021/acsami.4c18918,closed in Unpaywall,404 not found,False,closed,,,,
378,Structural Evolution of Nanoscale Ferroelectric Hf0.5Zr0.5O2 Layers as a Result of Their Cyclic Electrical Stimulation,Journal of Surface Investigation,2025-04-01,10.1134/S1027451025700582,closed in Unpaywall,404 not found,False,closed,,,,
383,Modeling conformality of Al2O3 deposited in high aspect ratio structure by atomic layer deposition,Japanese Journal of Applied Physics Part 1 Regular Papers and Short Notes and Review Papers,2025-04-01,10.35848/1347-4065/adc862,closed in Unpaywall,404 not found,False,closed,,,,
384,Atomic Layer Deposition of Graphene-Based Nanohybrid Interlayer for Potential Improvement in Lithium-Sulfur Batteries,Energy Storage,2025-04-01,10.1002/est2.70160,OA PDF download failed,404 not found,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/est2.70160,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/est2.70160')
386,Atomic layer deposited Ta2O5: From process optimization to thin film characterization,Aip Advances,2025-04-01,10.1063/6.0004254,OA PDF download failed,404 not found,True,gold,https://doi.org/10.1063/6.0004254,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/adv/article/15/4/045008/3342416/Atomic-layer-deposited-Ta2O5-From-process')
387,Reduction of Interface State Density in 4H-SiC MOS Capacitors Modified by ALD-Deposited Interlayers,Nanomaterials,2025-04-01,10.3390/nano15070555,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/2079-4991/15/7/555/pdf?version=1743841572,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/2079-4991/15/7/555/pdf?version=1743841572')
388,Atomic Layer Deposition of Nickel Oxides as Electrocatalyst for Oxygen Evolution Reaction,Nanomaterials,2025-04-01,10.3390/nano15070474,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/2079-4991/15/7/474/pdf?version=1742541705,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/2079-4991/15/7/474/pdf?version=1742541705')
389,HfO2/Al2O3 X-ray Multilayer Prepared of by Atomic Layer Deposition,Kuei Suan Jen Hsueh Pao Journal of the Chinese Ceramic Society,2025-04-01,10.14062/j.issn.0454-5648.20240661,DOI not found in Unpaywall,404 not found,,doi_not_found,,,,
392,Inspection of next-generation EUV resists with nano-projectile secondary ion mass spectrometry,Journal of Micro Nanopatterning Materials and Metrology,2025-04-01,10.1117/1.JMM.24.2.024003,closed in Unpaywall,404 not found,False,closed,,,,
393,Enhancing Thermal Conductivity of SiC Matrix Pellets for Accident-Tolerant Fuel via Atomic Layer Deposition of Al2O3 Coating,Energies,2025-04-01,10.3390/en18082130,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/1996-1073/18/8/2130/pdf?version=1745226463,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/1996-1073/18/8/2130/pdf?version=1745226463')
395,Crystalline 1D Coordination Polymer Inhibitor Layer Leads to Vertical Sidewalls in Selectively Deposited ZnO on Nanoscale Patterns,ACS Nano,2025-04-01,10.1021/acsnano.4c16115,closed in Unpaywall,404 not found,False,closed,,,,
396,Comparative analysis of Y2O3 and Al2O3 interfacial layers in modulating the electrical properties of ZrO2 and HfO2 on Ge,Semiconductor Science and Technology,2025-03-31,10.1088/1361-6641/adb209,closed in Unpaywall,404 not found,False,closed,,,,
399,Layer-by-layer NH3 plasma treatment for area-selective atomic layer deposition of high-quality SiO2 thin films,Journal of Chemical Physics,2025-03-28,10.1063/5.0257779,closed in Unpaywall,404 not found,False,closed,,,,
400,In Situ Analysis of Electron-Induced Chemical Transformations in Vapor-Phase-Synthesized Al-Based Inorganic-Organic Hybrid Thin Films for EUV Resist Platform,ACS Applied Materials and Interfaces,2025-03-26,10.1021/acsami.4c19426,OA PDF download failed,404 not found,True,gold,www.osti.gov/servlets/purl/2549233,failed,,"MissingSchema(""Invalid URL 'www.osti.gov/servlets/purl/2549233': No scheme supplied. Perhaps you meant https://www.osti.gov/servlets/purl/2549233?"")"
401,Stability of LiF Deposited by ALD on High-Voltage Spinel/Polyimide Composite Electrodes,ACS Applied Energy Materials,2025-03-24,10.1021/acsaem.4c02930,closed in Unpaywall,404 not found,False,closed,,,,
402,N2/H2 Plasma-Enhanced Atomic Layer Deposition for SiO2 Gap Filling: Implications for Nanoelectronics in Semiconductor Manufacturing,ACS Applied Nano Materials,2025-03-21,10.1021/acsanm.4c06844,OA PDF download failed,404 not found,True,hybrid,https://pubs.acs.org/doi/pdf/10.1021/acsanm.4c06844?ref=article_openPDF,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/pdf/10.1021/acsanm.4c06844?ref=article_openPDF')
404,High-performance microchannel plates based on atomic layer deposition for the preparation of functional layers,Journal of Physics D Applied Physics,2025-03-17,10.1088/1361-6463/ada80a,closed in Unpaywall,404 not found,False,closed,,,,
407,Breaking the Cycle of Heterogeneous Degradation: Surface-Targeted Protection for Ni-Rich Cathodes in Practical High-Energy Batteries,ACS Energy Letters,2025-03-14,10.1021/acsenergylett.4c03556,closed in Unpaywall,404 not found,False,closed,,,,
409,Ultrafast Switching Speed Demonstrated in Wafer-Scale Integration of Crystalline Undoped HfO2-Based Ferroelectrics,Nano Letters,2025-03-12,10.1021/acs.nanolett.4c05765,closed in Unpaywall,404 not found,False,closed,,,,
410,Selective Surface Passivation for Ultrathin and Continuous Metallic Films via Atomic Layer Deposition,Nano Letters,2025-03-12,10.1021/acs.nanolett.5c00590,closed in Unpaywall,404 not found,False,closed,,,,
411,High-Quality HfO2 High-K Gate Dielectrics Deposited on Highly Oriented Pyrolytic Graphite via Enhanced Precursor Atomic Layer Seeding,ACS Applied Electronic Materials,2025-03-11,10.1021/acsaelm.4c02224,OA PDF download failed,404 not found,True,hybrid,https://pubs.acs.org/doi/pdf/10.1021/acsaelm.4c02224?ref=article_openPDF,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/pdf/10.1021/acsaelm.4c02224?ref=article_openPDF')
412,Molecular Design in Area-Selective Atomic Layer Deposition: Understanding Inhibitors and Precursors,Chemistry of Materials,2025-03-11,10.1021/acs.chemmater.4c02902,closed in Unpaywall,404 not found,False,closed,,,,
413,Using a Heavy Inert Diffusion Additive for Superconformal Atomic Layer Deposition,Journal of Physical Chemistry Letters,2025-03-06,10.1021/acs.jpclett.4c03545,OA PDF download failed,404 not found,True,hybrid,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.4c03545?ref=article_openPDF,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.4c03545?ref=article_openPDF')
414,Optimizing Annealing Strategy to Achieve Effective Grain Boundary Modification with Aluminum Oxide for Stable Cycling Ni-Rich Cathodes,ACS Applied Materials and Interfaces,2025-03-05,10.1021/acsami.4c21263,closed in Unpaywall,404 not found,False,closed,,,,
416,Editorial for focus on emerging processes and applications of atomic and molecular layer deposition,Nanotechnology,2025-03-03,10.1088/1361-6528/ad9d4b,closed in Unpaywall,404 not found,False,closed,,,,
417,Sequential Infiltration Synthesis of Cadmium Sulfide Discrete Atom Clusters,Angewandte Chemie International Edition,2025-03-03,10.1002/anie.202421259,OA PDF download failed,404 not found,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202421259,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202421259')
422,Ultrahigh purity plasma-enhanced atomic layer deposition and electrical properties of epitaxial scandium nitride,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004180,closed in Unpaywall,404 not found,False,closed,,,,
423,Highly C-axis Aligned ALD-InGaO Channel Improving Mobility and Thermal Stability for Next-Generation 3D Memory Devices,Advanced Electronic Materials,2025-03-01,10.1002/aelm.202400377,OA PDF download failed,404 not found,True,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202400377,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aelm.202400377')
426,Nonpyrophoric alternative to trimethylaluminum for the atomic layer deposition of Al2O3,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004171,closed in Unpaywall,404 not found,False,closed,,,,
427,Spatial atomic layer deposition: Transport-reaction modeling and experimental validation of film geometry,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004367,closed in Unpaywall,404 not found,False,closed,,,,
428,Enhancing the nucleation in atomic layer deposition: A study on vanadium sulfide and oxide layers,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004247,closed in Unpaywall,404 not found,False,closed,,,,
432,Low-temperature ALD of metallic cobalt using the CoCOhept precursor: Simulation-assisted process development for deposition on temperature sensitive 3D-structures,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004248,OA PDF download failed,404 not found,True,hybrid,https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004248/20415564/022412_1_6.0004248.pdf,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/6.0004248/20415564/022412_1_6.0004248.pdf')
434,Atomic layer deposition of crystalline molybdenum trioxide and suboxide thin films using molybdenum(II) acetate dimer precursor,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004240,closed in Unpaywall,404 not found,False,closed,,,,
435,Atomic layer deposition of nanofilms on porous polymer substrates: Strategies for success,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004187,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1116/6.0004187,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/jva/article/43/2/022402/3331985/Atomic-layer-deposition-of-nanofilms-on-porous')
438,Effects of ozone on physical and electrical properties of In-Ga-Zn-O film by thermal atomic layer deposition,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004355,closed in Unpaywall,404 not found,False,closed,,,,
439,Study on Vacuum Breakdown Properties of Surface-Modified 304 Stainless Steel Electrodes Based on Fractal Theory,Nanomaterials,2025-03-01,10.3390/nano15050340,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/2079-4991/15/5/340/pdf?version=1740218641,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/2079-4991/15/5/340/pdf?version=1740218641')
440,Novel precursor for the preparation of vanadium sulfide layers with atomic layer deposition,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004127,closed in Unpaywall,404 not found,False,closed,,,,
443,Nucleation studies of high-κ aluminum oxide and hafnium oxide thin films on silicon carbide by plasma-enhanced atomic layer deposition,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004252,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1116/6.0004252,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/jva/article/43/2/022410/3336623/Nucleation-studies-of-high-aluminum-oxide-and')
444,Atomic-layer-deposition application for antibacterial coating of biomedical materials: surgical sutures,Biomedical Materials Bristol,2025-03-01,10.1088/1748-605X/ada841,OA PDF download failed,404 not found,True,hybrid,https://iopscience.iop.org/article/10.1088/1748-605X/ada841/pdf,failed,,no PDF link found on OA page
445,Enzymatic degradation of cellulosic fabrics modified with atomic layer deposited aluminum oxide thin films,Journal of Vacuum Science and Technology B,2025-03-01,10.1116/6.0004299,OA PDF download failed,404 not found,True,bronze,https://pubs.aip.org/avs/jvb/article-pdf/doi/10.1116/6.0004299/20430252/022806_1_6.0004299.pdf,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/avs/jvb/article-pdf/doi/10.1116/6.0004299/20430252/022806_1_6.0004299.pdf')
446,Preparation of Coated-monocapillary by Atomic Layer Deposition Method Based on Fluent Simulation,Guangzi Xuebao Acta Photonica Sinica,2025-03-01,10.3788/gzxb20255403.0331001,closed in Unpaywall,404 not found,False,closed,,,,
448,Role of a cyclopentadienyl ligand in Hf precursors using H2O or O3 as oxidant in atomic layer deposition,Journal of Vacuum Science and Technology A Vacuum Surfaces and Films,2025-03-01,10.1116/6.0004358,closed in Unpaywall,404 not found,False,closed,,,,
450,Di-tert-butyl Disulfide as a Replacement for Hydrogen Sulfide in the Atomic Layer Deposition of Two-Dimensional Molybdenum Disulfide,Chemistry of Materials,2025-02-25,10.1021/acs.chemmater.4c02561,closed in Unpaywall,404 not found,False,closed,,,,
451,Inhibitor-Free Area-Selective Deposition of Titanium Nitride,Chemistry of Materials,2025-02-25,10.1021/acs.chemmater.4c03092,closed in Unpaywall,404 not found,False,closed,,,,
452,Large positive VFB shift achieved by a band alignment modulated with insertion of Ga2O3 dipole layer,Applied Physics Letters,2025-02-24,10.1063/5.0252518,closed in Unpaywall,404 not found,False,closed,,,,
453,Research Status and Challenges of Space Atomic Oxygen Resistant Coatings,Zhongguo Biaomian Gongcheng China Surface Engineering,2025-02-23,10.11933/j.issn.1007-9289.20230916001,DOI not found in Unpaywall,404 not found,,doi_not_found,,,,
454,Unveiling surface reactivity: the crucial role of auxiliary ligands in gallium amidinate-based precursors for atomic layer deposition,Dalton Transactions,2025-02-21,10.1039/d4dt03498h,OA PDF download failed,404 not found,True,green,https://lirias.kuleuven.be/handle/20.500.12942/761742,failed,,no PDF link found on OA page
455,Self-Assembled Monolayers of Triazolylidenes on Gold and Mixed Gold/Dielectric Substrates,Journal of the American Chemical Society,2025-02-19,10.1021/jacs.4c11125,closed in Unpaywall,404 not found,False,closed,,,,
456,Vanadium-Doped Hafnium Oxide: A High-Endurance Ferroelectric Thin Film with Demonstrated Negative Capacitance,Nano Letters,2025-02-19,10.1021/acs.nanolett.4c05671,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1021/acs.nanolett.4c05671,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acs.nanolett.4c05671')
457,Atomic Layer Deposition of Hafnium-Zirconium-Oxide Films Using a Liquid Cocktail Precursor Containing Hf(dmap)4 and Zr(dmap)4 for Ferroelectric Devices,ACS Applied Materials and Interfaces,2025-02-19,10.1021/acsami.4c21964,closed in Unpaywall,404 not found,False,closed,,,,
458,Ultra-Flexible High-Linearity Silicon Nanomembrane Synaptic Transistor Array,Advanced Materials,2025-02-19,10.1002/adma.202413404,OA PDF download failed,404 not found,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202413404,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202413404')
459,Growth of Bismuth Oxide by Atomic Layer Deposition: An Attempt to Achieve a Stoichiometric Composition and a High Growth Rate,Crystal Growth and Design,2025-02-19,10.1021/acs.cgd.4c01213,closed in Unpaywall,404 not found,False,closed,,,,
460,Atomic Layer Processing (ALP): Ubi es et Quo Vadis?,Advanced Materials Interfaces,2025-02-17,10.1002/admi.202400408,OA PDF download failed,404 not found,True,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400408,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400408')
461,Layer-Engineered Functional Multilayer Thin-Film Structures and Interfaces through Atomic and Molecular Layer Deposition,Advanced Materials Interfaces,2025-02-17,10.1002/admi.202400262,OA PDF download failed,404 not found,True,gold,https://doi.org/10.1002/admi.202400262,failed,,HTTPError('403 Client Error: Forbidden for url: https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202400262')
464,Atmospheric Pressure Spatial Atomic Layer Deposition of Silicon Oxide Using DIPAS and Ozone,Journal of Physical Chemistry C,2025-02-13,10.1021/acs.jpcc.4c08359,closed in Unpaywall,404 not found,False,closed,,,,
465,Real-Time Time-Dependent Density Functional Theory Study of Inelastic Electron Scattering: Energy Transfer in Tetracarbonyl Nickel Molecule Reactions,Journal of Physical Chemistry Letters,2025-02-13,10.1021/acs.jpclett.4c03430,closed in Unpaywall,404 not found,False,closed,,,,
466,Accurately Computed Dimerization Trends of ALD Precursors and Their Impact on Surface Reactivity in Area-Selective Atomic Layer Deposition,Chemistry of Materials,2025-02-11,10.1021/acs.chemmater.4c02557,OA PDF download failed,404 not found,True,hybrid,https://doi.org/10.1021/acs.chemmater.4c02557,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.acs.org/doi/10.1021/acs.chemmater.4c02557')
467,Spontaneous Reactions by Atomic Hydrogen - An Extraordinary Reactant for Atomic Layer Deposition of Platinum,Chemistry of Materials,2025-02-11,10.1021/acs.chemmater.4c02524,closed in Unpaywall,404 not found,False,closed,,,,
470,Liquid K/Na Alloy on Metal Oxide-Coated Cu: A Promising Anode for Organic Potassium Batteries,Journal of Physical Chemistry C,2025-02-06,10.1021/acs.jpcc.4c05912,closed in Unpaywall,404 not found,False,closed,,,,
471,Structural Characterization of the Platinum Nanoparticle Hydrogen-Evolving Catalyst Assembled on Photosystem I by Light-Driven Chemistry,ACS Nano,2025-02-04,10.1021/acsnano.4c08563,closed in Unpaywall,404 not found,False,closed,,,,
472,Competitive Adsorption of Small Molecule Inhibitors and Trimethylaluminum Precursors on the Cu(111) Surface during Area-Selective Atomic Layer Deposition: A GCMC Study,Langmuir,2025-02-04,10.1021/acs.langmuir.4c04323,closed in Unpaywall,404 not found,False,closed,,,,
473,Reductive Thermal ALD of Pd and Pd2Ge From a Novel Recyclable Palladium Chloride Adduct,Advanced Materials Interfaces,2025-02-03,10.1002/admi.202400579,OA PDF download failed,404 not found,True,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400579,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202400579')
475,Facile synthesis of vanadium oxide thin films by atomic layer deposition and post-annealing,Applied Physics Letters,2025-02-03,10.1063/5.0245902,closed in Unpaywall,404 not found,False,closed,,,,
476,Thermodynamics of MgO Atomic Layer Deposition Surface Reactions,ACS Materials Letters,2025-02-03,10.1021/acsmaterialslett.4c02078,closed in Unpaywall,404 not found,False,closed,,,,
477,Simulation and Experimental Study on Precursor Distribution in Tungsten Thin Film Atomic Layer Deposition Chamber,Bandaoti Guangdian Semiconductor Optoelectronics,2025-02-01,10.16818/j.issn1001-5868.20241217002,DOI not found in Unpaywall,404 not found,,doi_not_found,,,,
481,UV degradation analysis of TOPCon cells,Aip Advances,2025-02-01,10.1063/5.0247683,OA PDF download failed,404 not found,True,gold,https://doi.org/10.1063/5.0247683,failed,,HTTPError('403 Client Error: Forbidden for url: https://pubs.aip.org/adv/article/15/2/025010/3333671/UV-degradation-analysis-of-TOPCon-cells')
486,Improved diamond particle reactivity by alumina coating,Surface Engineering,2025-02-01,10.1177/02670844241302995,closed in Unpaywall,404 not found,False,closed,,,,
487,Fatigue Resistance Improvement in Cold-Drawn NiTi Wires Treated with ALD: A Preliminary Investigation,Applied Sciences Switzerland,2025-02-01,10.3390/app15041823,OA PDF download failed,404 not found,True,gold,https://www.mdpi.com/2076-3417/15/4/1823/pdf?version=1739257996,failed,,HTTPError('403 Client Error: Forbidden for url: https://www.mdpi.com/2076-3417/15/4/1823/pdf?version=1739257996')
490,Development and Testing of the Atomic Layer Deposition Technological Platform for the Synthesis of Micro- and Nanoelectronics Materials,Russian Microelectronics,2025-02-01,10.1134/S1063739724600900,closed in Unpaywall,404 not found,False,closed,,,,
496,Atomic-Level Stoichiometry Control of Ferroelectric HfxZryOz Thin Films by Understanding Molecular-Level Chemical Physical Reactions,ACS Nano,2025-01-28,10.1021/acsnano.4c13595,closed in Unpaywall,404 not found,False,closed,,,,
497,Inhibitor-Assisted Atomic Layer Deposition for Uniformly Doped Ultrathin Films: Overcoming Compositional and Thickness Limitations,Chemistry of Materials,2025-01-28,10.1021/acs.chemmater.4c03298,closed in Unpaywall,404 not found,False,closed,,,,
499,Post-Treatment of Monolayer MoS2 Field-Effect Transistors with H2O Vapor: Alleviation of Remote Channel Doping,ACS Applied Materials and Interfaces,2025-01-22,10.1021/acsami.4c17249,closed in Unpaywall,404 not found,False,closed,,,,
500,Polyvinylidene Fluoride (PVDF)-Trimethylaluminum (TMA) Chemistry: First-Principles Investigation and Experimental Insights,ACS Applied Materials and Interfaces,2025-01-22,10.1021/acsami.4c14135,closed in Unpaywall,404 not found,False,closed,,,,
501,TiO2/CoOx heterostructure decorated MIL-100(Fe) by atomic layer deposition for enhanced photocatalytic oxygen production,Dalton Transactions,2025-01-21,10.1039/d4dt02829e,closed in Unpaywall,404 not found,False,closed,,,,
502,Symmetric Dopant-Free Si Solar Cells Enabled by TiOx Nanolayers: An In-Depth Study on Bipolar Carrier Selectivity,Advanced Science,2025-01-20,10.1002/advs.202410179,OA PDF download failed,404 not found,True,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202410179,failed,,HTTPError('403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202410179')
505,Gradient Surface Gallium-Doped Hematite Photoelectrode for Enhanced Photoelectrochemical Water Oxidation,Nano Letters,2025-01-15,10.1021/acs.nanolett.4c04909,closed in Unpaywall,404 not found,False,closed,,,,
